name,v_nom,carrier,x,y,nom_max_wind
PL DS,400,AC,16.41062,51.0895,18667
PL KP,400,AC,18.48827,53.07275,2601
PL LU,400,AC,22.90033,51.22071,7660
PL LB,400,AC,15.34278,52.19621,3110
PL LD,400,AC,19.41753,51.60488,12676
PL MA,400,AC,20.26944,49.8589,766
PL MZ,400,AC,21.09647,52.34574,3954
PL OP,400,AC,17.89976,50.64711,15928
PL PK,400,AC,22.16912,49.95362,4859
PL PD,400,AC,22.92937,53.26443,5183
PL PM,400,AC,17.97494,54.15269,9525
PL SL,400,AC,18.99408,50.33105,1149
PL SK,400,AC,20.76911,50.7634,2541
PL WN,400,AC,20.83388,53.85382,7087
PL WP,400,AC,17.24308,52.33077,14824
PL ZP,400,AC,15.56482,53.58074,16234
