name,bus0,bus1,p_nom,length
PL DS-PL LB 1,PL DS,PL LB,5810,143
PL DS-PL OP 1,PL DS,PL OP,11150,115
PL DS-PL WP 1,PL DS,PL WP,1340,149
PL KP-PL LD 1,PL KP,PL LD,2040,175
PL KP-PL MZ 1,PL KP,PL MZ,4080,193
PL KP-PL PM 1,PL KP,PL PM,8270,125
PL KP-PL WN 1,PL KP,PL WN,800,178
PL KP-PL WP 1,PL KP,PL WP,7290,118
PL LB-PL WP 1,PL LB,PL WP,7290,130
PL LB-PL ZP 1,PL LB,PL ZP,7030,155
PL LD-PL SK 1,PL LD,PL SK,520,133
PL LD-PL SL 1,PL LD,PL SL,9230,145
PL LU-PL MZ 1,PL LU,PL MZ,3780,176
PL LU-PL PK 1,PL LU,PL PK,1060,150
PL LU-PL SK 1,PL LU,PL SK,130,158
PL MA-PL PK 1,PL MA,PL PK,5570,136
PL MA-PL SK 1,PL MA,PL SK,2440,107
PL MA-PL SL 1,PL MA,PL SL,7830,105
PL MZ-PL LD 1,PL MZ,PL LD,5810,141
PL MZ-PL PD 1,PL MZ,PL PD,6370,160
PL MZ-PL PK 1,PL MZ,PL PK,4080,276
PL MZ-PL SK 1,PL MZ,PL SK,2830,177
PL MZ-PL WN 1,PL MZ,PL WN,4200,169
PL MZ-PL WP 1,PL MZ,PL WP,410,262
PL OP-PL LD 1,PL OP,PL LD,130,150
PL OP-PL SL 1,PL OP,PL SL,6750,85
PL OP-PL WP 1,PL OP,PL WP,2170,193
PL PD-PL WN 1,PL PD,PL WN,4320,153
PL PK-PL SK 1,PL PK,PL SK,7580,134
PL PM-PL WN 1,PL PM,PL WN,6370,190
PL PM-PL WP 1,PL PM,PL WP,4080,208
PL PM-PL ZP 1,PL PM,PL ZP,6760,170
PL SL-PL SK 1,PL SL,PL SK,1340,134
PL WP-PL LD 1,PL WP,PL LD,8000,169
PL WP-PL ZP 1,PL WP,PL ZP,4340,179
